#TYPE Selected.System.IO.DirectoryInfo
"Name";"CreationTime";"LastWriteTime"
"The Ice Age Adventures Of Buck Wild (2022)";"04/02/2022 18:32:29";"22/03/2022 20:06:39"
"The Imitation Game (2014)";"05/10/2020 20:36:59";"13/10/2020 01:57:00"
"The International (2009)";"07/11/2020 04:48:28";"22/03/2022 20:04:55"
"The Interview (2014)";"14/02/2021 18:34:27";"20/04/2021 12:17:37"
"The Invention of Lying (2009)";"24/10/2022 11:29:49";"25/10/2022 11:11:30"
"The King (2019)";"30/06/2020 02:19:41";"02/07/2020 22:24:13"
"The Kings Daughter (2022)";"22/01/2022 18:20:20";"27/02/2022 11:08:06"
"The Kings Man (2021)";"08/02/2022 23:33:25";"27/02/2022 11:08:06"
"The Kissing Booth (2018)";"28/07/2020 19:15:56";"13/10/2020 01:53:09"
"The Kissing Booth 2 (2020)";"27/07/2020 22:47:13";"20/04/2021 12:13:39"
"The Last Duel (2021)";"05/12/2021 00:35:08";"13/12/2021 17:33:09"
"The Losers (2010)";"29/11/2020 21:51:03";"22/12/2020 21:56:07"
"The Man From U.N.C.L.E. (2015)";"02/01/2021 20:25:06";"17/01/2021 19:57:52"
"The Martian (2015)";"28/06/2020 22:31:29";"30/06/2020 02:27:25"
"The Mask Of Zorro (1998)";"03/01/2023 13:39:51";"19/01/2023 22:24:00"
"The Matrix Resurrections (2021)";"28/12/2021 22:17:38";"22/03/2022 20:02:15"
"The Misfits (2021)";"21/06/2021 20:33:14";"01/07/2021 21:39:45"
"The Old Way (2023)";"18/01/2023 18:40:28";"19/01/2023 22:25:12"
"The Perfect Date (2019)";"28/11/2020 15:24:02";"30/11/2020 14:39:14"
"The Proposal (2009)";"28/11/2020 15:34:18";"30/11/2020 14:39:14"
"The Protege (2021)";"30/08/2021 21:55:20";"12/10/2021 21:56:31"
"The Rhythm Section (2020)";"16/01/2022 18:46:40";"27/02/2022 11:08:41"
"The Silencing (2020)";"19/07/2020 20:09:48";"28/07/2020 20:33:50"
"The Space Between Us (2017)";"24/04/2021 23:37:00";"25/04/2021 21:12:28"
"The Suicide Squad (2021)";"07/08/2021 22:54:53";"11/08/2021 10:11:38"
"The Tournament (2009)";"11/09/2021 00:47:13";"12/10/2021 21:56:01"
"The Ugly Truth (2009)";"25/11/2020 13:05:30";"30/11/2020 14:36:40"
"The Wolverine (2013)";"11/10/2020 01:54:52";"17/01/2021 19:57:04"
"Then Came You (2018)";"20/04/2021 17:00:34";"25/04/2021 21:14:22"
"Thoroughbreds (2017)";"24/04/2021 19:19:11";"25/04/2021 21:12:55"
"Together (2021)";"19/09/2021 18:43:14";"12/10/2021 21:57:37"
"Together Together (2021)";"17/05/2021 18:53:20";"21/05/2021 23:54:03"
"Tomb Raider (2018)";"27/09/2020 03:15:02";"13/10/2020 01:51:51"
"Tomorrowland (2015)";"09/08/2021 01:22:34";"11/08/2021 10:10:26"
"Top Gun Maverick (2022)";"19/08/2022 00:39:10";"03/09/2022 14:42:57"
"Un Plan Parfait (2012)";"17/03/2023 11:00:36";"17/03/2023 11:01:32"
"Uncharted (2022)";"25/04/2022 20:12:52";"21/05/2022 15:30:17"
"Underworld 1 (2003)";"26/05/2022 22:51:36";"08/07/2022 22:54:07"
"Underworld 2 Evolution (2006)";"26/05/2022 22:51:46";"08/07/2022 22:52:29"
"Underworld 3 Rise of the Lycans (2009)";"26/05/2022 22:51:53";"28/10/2022 12:41:51"
"Underworld 4 Awakening (2012)";"26/05/2022 22:51:57";"28/10/2022 12:41:37"
"Underworld 5 Blood Wars (2016)";"26/05/2022 22:52:29";"28/10/2022 12:41:51"
"Upside-Down Magic (2020)";"03/08/2020 21:04:34";"11/08/2020 22:36:50"
"Venom (2018)";"17/10/2021 19:05:48";"06/11/2021 00:22:59"
"Venom Let There Be Carnage (2021)";"24/11/2021 20:03:13";"25/11/2021 20:46:32"
"Vive la France (2013)";"08/07/2022 22:37:08";"08/07/2022 22:37:24"
"Waiting (2005)";"14/09/2022 16:10:32";"26/09/2022 19:07:53"
"Wanted (2008)";"06/10/2020 01:06:19";"13/10/2020 01:56:39"
"Warm Bodies (2013)";"18/07/2021 22:11:41";"28/07/2021 21:11:59"
"Warning (2021)";"17/10/2021 19:07:50";"06/11/2021 00:22:41"
"We're the Millers (2013)";"11/07/2020 03:04:16";"12/07/2020 12:48:24"
"What Happened To Monday (2017)";"24/08/2021 14:56:09";"12/09/2021 19:12:22"
"What Happens In Vegas (2008)";"29/11/2020 15:42:23";"22/12/2020 21:56:38"
"What Women Want (2000)";"10/05/2022 21:00:48";"21/05/2022 15:29:15"
"What's Your Number (2011)";"11/07/2020 03:04:22";"12/07/2020 12:48:24"
"Why Him (2016)";"06/10/2020 00:49:20";"13/10/2020 01:56:39"
"Wonder Woman (2017)";"14/11/2022 01:16:47";"21/11/2022 17:53:41"
"Wonder Woman 1984 (2020)";"31/12/2020 00:04:57";"17/01/2021 19:59:53"
"X MEN";"11/07/2021 21:06:59";"28/07/2021 21:18:24"
"Yes God Yes (2019)";"04/08/2020 22:20:07";"11/08/2020 22:36:02"
"Zootopia (2016)";"21/12/2020 00:32:18";"21/11/2022 17:52:56"
